year,county,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
2022,Crittenden,CONSTABLE 5th Magisterial District,,Gregory J. Rushing,W,17,,,,,,,
2022,Crittenden,CONSTABLE 6th Magisterial District,,Beverly Don HERRIN,REP,401,,,,,,,
2022,Crittenden,CORONER,,Bradley R. GILBERT,REP,2698,,,,,,,
2022,Crittenden,COUNTY ATTORNEY,,Bart FRAZER,REP,2514,,,,,,,
2022,Crittenden,COUNTY CLERK,,Daryl K. TABOR,REP,2632,,,,,,,
2022,Crittenden,COUNTY JUDGE/EXECUTIVE,,Perry A. NEWCOM,REP,2707,,,,,,,
2022,Crittenden,JAILER,,Athena PERRY-HAYES,REP,2634,,,,,,,
2022,Crittenden,MAGISTRATE 1st Magisterial District,,Dave Allen BELT,REP,416,,,,,,,
2022,Crittenden,MAGISTRATE 2nd Magisterial District,,Matt GRIMES,REP,544,,,,,,,
2022,Crittenden,MAGISTRATE 3rd Magisterial District,,Robert KIRBY,REP,387,,,,,,,
2022,Crittenden,MAGISTRATE 4th Magisterial District,,Chadwick Wayne THOMAS,DEM,207,,,,,,,
2022,Crittenden,MAGISTRATE 5th Magisterial District,,Travis PERRYMAN,REP,529,,,,,,,
2022,Crittenden,MAGISTRATE 6th Magisterial District,,Jason MARTIN,DEM,151,,,,,,,
2022,Crittenden,MAGISTRATE 6th Magisterial District,,Scott L. BELT,REP,357,,,,,,,
2022,Crittenden,MAYOR City of Marion,,D'anna Browning,W,348,,,,,,,
2022,Crittenden,MEMBER BOARD of EDUCATION 2nd Educational District,,Democratic Party,DEM,39,,,,,,,
2022,Crittenden,MEMBER BOARD of EDUCATION 2nd Educational District,,Republican Party,REP,159,,,,,,,
2022,Crittenden,PROPERTY VALUATION ADMINISTRATOR,,Todd PERRYMAN,REP,2723,,,,,,,
2022,Crittenden,SHERIFF,,"Donald E. ""Don"" YOUNG",DEM,859,,,,,,,
2022,Crittenden,SHERIFF,,Evan Franklin HEAD,REP,2189,,,,,,,
2022,Crittenden,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Democratic Party,DEM,74,,,,,,,
2022,Crittenden,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Republican Party,REP,475,,,,,,,
2022,Crittenden,STATE REPRESENTATIVE 12th Representative District,12.0,Alan C. LOSSNER,DEM,509,,,,,,,
2022,Crittenden,STATE REPRESENTATIVE 12th Representative District,12.0,Jim GOOCH JR.,REP,2523,,,,,,,
2022,Crittenden,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1.0,James R. COMER,REP,2608,,,,,,,
2022,Crittenden,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1.0,Jimmy C. AUSBROOKS,DEM,460,,,,,,,
2022,Daviess,CITY COMMISSIONERS City of Owensboro,,Democratic Party,DEM,3338,,,,,,,
2022,Daviess,CITY COMMISSIONERS City of Owensboro,,Republican Party,REP,5500,,,,,,,
2022,Daviess,CITY COMMISSIONERS City of Whitesville,,Democratic Party,DEM,119,,,,,,,
2022,Daviess,CITY COMMISSIONERS City of Whitesville,,Republican Party,REP,338,,,,,,,
2022,Daviess,CONSTABLE Central Magisterial District,,Steve NAVE,REP,6080,,,,,,,
2022,Daviess,CONSTABLE Central Magisterial District,,"Willis ""Murry"" MORRIS",DEM,3442,,,,,,,
2022,Daviess,CONSTABLE East Magisterial District,,Dan BENNETT,REP,8976,,,,,,,
2022,Daviess,CONSTABLE West Magisterial District,,Kris D. CRAWFORD,REP,5722,,,,,,,
2022,Daviess,CONSTABLE West Magisterial District,,Scott D. SMITH,DEM,4136,,,,,,,
2022,Daviess,CORONER,,Jeff JONES,REP,24154,,,,,,,
2022,Daviess,COUNTY ATTORNEY,,John BURLEW,REP,24037,,,,,,,
2022,Daviess,COUNTY CLERK,,Leslie A. McCARTY,REP,24361,,,,,,,
2022,Daviess,COUNTY COMMISSIONER Central District,,Larry CONDER,REP,22158,,,,,,,
2022,Daviess,COUNTY COMMISSIONER Central District,,Tyler SAGARDOY,DEM,9988,,,,,,,
2022,Daviess,COUNTY COMMISSIONER Eastern District,,Janie MARKSBERRY,REP,23290,,,,,,,
2022,Daviess,COUNTY COMMISSIONER Western District,,Christopher T. CASTLEN,REP,23667,,,,,,,
2022,Daviess,COUNTY JUDGE/EXECUTIVE,,Bruce KUNZE,DEM,12533,,,,,,,
2022,Daviess,COUNTY JUDGE/EXECUTIVE,,Charlie CASTLEN,REP,20203,,,,,,,
2022,Daviess,JAILER,,Arthur F. MAGLINGER,REP,24348,,,,,,,
2022,Daviess,JUSTICE of the PEACE Central Magisterial District,,Christopher A. SAALWAECHTER,DEM,5414,,,,,,,
2022,Daviess,JUSTICE of the PEACE East Magisterial District,,Anthony W. COBB,REP,8985,,,,,,,
2022,Daviess,JUSTICE of the PEACE West Magisterial District,,Charles R. McCARTY,REP,7092,,,,,,,
2022,Daviess,MEMBER BOARD of EDUCATION 1st Educational District,,Democratic Party,DEM,425,,,,,,,
2022,Daviess,MEMBER BOARD of EDUCATION 1st Educational District,,Republican Party,REP,1090,,,,,,,
2022,Daviess,MEMBER BOARD of EDUCATION 2nd Educational District,,Democratic Party,DEM,439,,,,,,,
2022,Daviess,MEMBER BOARD of EDUCATION 2nd Educational District,,Kelly WIMAN,W,60,,,,,,,
2022,Daviess,MEMBER BOARD of EDUCATION 2nd Educational District,,Republican Party,REP,1282,,,,,,,
2022,Daviess,PROPERTY VALUATION ADMINISTRATOR,,Rachel Pence FOSTER,REP,24366,,,,,,,
2022,Daviess,SHERIFF,,Brad YOUNGMAN,REP,24389,,,,,,,
2022,Daviess,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Democratic Party,DEM,577,,,,,,,
2022,Daviess,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Dustin WARREN,W,13,,,,,,,
2022,Daviess,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Republican Party,REP,1919,,,,,,,
2022,Daviess,STATE REPRESENTATIVE 13th Representative District,13.0,D.J. JOHNSON,REP,8387,,,,,,,
2022,Daviess,STATE REPRESENTATIVE 13th Representative District,13.0,Michael JOHNSON,DEM,4870,,,,,,,
2022,Daviess,STATE REPRESENTATIVE 14th Representative District,14.0,Scott LEWIS,REP,3408,,,,,,,
2022,Daviess,STATE REPRESENTATIVE 7th Representative District,7.0,Suzanne MILES,REP,11211,,,,,,,
2022,Daviess,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2.0,Hank LINDERMAN,DEM,10580,,,,,,,
2022,Daviess,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2.0,S. Brett GUTHRIE,REP,22200,,,,,,,
2022,Franklin,CITY COMMISSIONERS City of Frankfort,,Democratic Party,DEM,2812,,,,,,,
2022,Franklin,CITY COMMISSIONERS City of Frankfort,,Republican Party,REP,2077,,,,,,,
2022,Franklin,CONSTABLE 1st Magisterial District,,Michael MARRACCINI,REP,1861,,,,,,,
2022,Franklin,CONSTABLE 2nd Magisterial District,,Bob DAVIS,DEM,2805,,,,,,,
2022,Franklin,CONSTABLE 3rd Magisterial District,,Jeffrey Alan SIZEMORE,DEM,2299,,,,,,,
2022,Franklin,CONSTABLE 4th Magisterial District,,Shadie Reed HUDNALL Jr.,W,7,,,,,,,
2022,Franklin,CONSTABLE 5th Magisterial District,,"Wm. ""Billy"" MILLS",DEM,2158,,,,,,,
2022,Franklin,CONSTABLE 6th Magisterial District,,Richard SANDIFER,DEM,1957,,,,,,,
2022,Franklin,CORONER,,Will HARROD,DEM,14818,,,,,,,
2022,Franklin,COUNTY ATTORNEY,,Kate BENNETT,REP,9879,,,,,,,
2022,Franklin,COUNTY ATTORNEY,,Max COMLEY,DEM,10059,,,,,,,
2022,Franklin,COUNTY CLERK,,Jeff HANCOCK,DEM,14956,,,,,,,
2022,Franklin,COUNTY JUDGE/EXECUTIVE,,Ken CARROLL,REP,8801,,,,,,,
2022,Franklin,COUNTY JUDGE/EXECUTIVE,,Michael MUELLER,DEM,11094,,,,,,,
2022,Franklin,DISTRICT JUDGE 48th Judicial District 2nd Division,,Democratic Party,DEM,407,,,,,,,
2022,Franklin,DISTRICT JUDGE 48th Judicial District 2nd Division,,Republican Party,REP,282,,,,,,,
2022,Franklin,JAILER,,Jake BANTA,DEM,14207,,,,,,,
2022,Franklin,MAGISTRATE 1st Magisterial District,,Sherry G. SEBASTIAN,DEM,2551,,,,,,,
2022,Franklin,MAGISTRATE 2nd Magisterial District,,J. W. BLACKBURN II.,DEM,2953,,,,,,,
2022,Franklin,MAGISTRATE 3rd Magisterial District,,Greg GRIMES,REP,1471,,,,,,,
2022,Franklin,MAGISTRATE 3rd Magisterial District,,Kelly DYCUS,DEM,1774,,,,,,,
2022,Franklin,MAGISTRATE 4th Magisterial District,,Darrell SANDERSON,REP,1080,,,,,,,
2022,Franklin,MAGISTRATE 4th Magisterial District,,Scotty TRACY,DEM,1614,,,,,,,
2022,Franklin,MAGISTRATE 5th Magisterial District,,Richard TANNER,DEM,2207,,,,,,,
2022,Franklin,MAGISTRATE 6th Magisterial District,,Eric E. WHISMAN,DEM,1962,,,,,,,
2022,Franklin,MEMBER BOARD of EDUCATION 2nd Educational District,,Democratic Party,DEM,506,,,,,,,
2022,Franklin,MEMBER BOARD of EDUCATION 2nd Educational District,,Republican Party,REP,378,,,,,,,
2022,Franklin,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,536,,,,,,,
2022,Franklin,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,426,,,,,,,
2022,Franklin,PROPERTY VALUATION ADMINISTRATOR,,Kellie LANG,DEM,14609,,,,,,,
2022,Franklin,SHERIFF,,Chris QUIRE,DEM,14477,,,,,,,
2022,Franklin,SHERIFF,,Steve SUTTON,REP,5513,,,,,,,
2022,Franklin,STATE REPRESENTATIVE 56th Representative District,56.0,Daniel A. FISTER,REP,2096,,,,,,,
2022,Franklin,STATE REPRESENTATIVE 56th Representative District,56.0,Grayson VANDEGRIFT,DEM,1799,,,,,,,
2022,Franklin,STATE REPRESENTATIVE 57th Representative District,57.0,Derrick W. GRAHAM,DEM,10066,,,,,,,
2022,Franklin,STATE REPRESENTATIVE 57th Representative District,57.0,Gary Reed STRATTON,REP,6073,,,,,,,
2022,Franklin,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1.0,James R. COMER,REP,10638,,,,,,,
2022,Franklin,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1.0,Jimmy C. AUSBROOKS,DEM,9210,,,,,,,
2022,Grayson,CITY COMMISSIONERS City of Caneyville,,Democratic Party,DEM,5,,,,,,,
2022,Grayson,CITY COMMISSIONERS City of Caneyville,,Republican Party,REP,77,,,,,,,
2022,Grayson,CITY COMMISSIONERS City of Clarkson,,Democratic Party,DEM,11,,,,,,,
2022,Grayson,CITY COMMISSIONERS City of Clarkson,,HUSSEL Rick,W,5,,,,,,,
2022,Grayson,CITY COMMISSIONERS City of Clarkson,,Republican Party,REP,43,,,,,,,
2022,Grayson,CITY COUNCIL City of Leitchfield,,Democratic Party,DEM,220,,,,,,,
2022,Grayson,CITY COUNCIL City of Leitchfield,,Republican Party,REP,1308,,,,,,,
2022,Grayson,CONSTABLE 1st Magisterial District,,Damon LASLEY III.,REP,782,,,,,,,
2022,Grayson,CONSTABLE 2nd Magisterial District,,Alvin DOCKERY,REP,1150,,,,,,,
2022,Grayson,CONSTABLE 3rd Magisterial District,,Brian JAGGERS,REP,1120,,,,,,,
2022,Grayson,CONSTABLE 4th Magisterial District,,Bill DALTON,REP,1076,,,,,,,
2022,Grayson,CONSTABLE 5th Magisterial District,,Mark H. STANTON,REP,1165,,,,,,,
2022,Grayson,CONSTABLE 6th Magisterial District,,Tim L. SALTSMAN,REP,1099,,,,,,,
2022,Grayson,CORONER,,Joe Brad HUDSON,REP,6524,,,,,,,
2022,Grayson,COUNTY ATTORNEY,,Jeremy LOGSDON,REP,6665,,,,,,,
2022,Grayson,COUNTY CLERK,,Charlotte WILLIS,REP,6800,,,,,,,
2022,Grayson,COUNTY JUDGE/EXECUTIVE,,Kevin HENDERSON,REP,6818,,,,,,,
2022,Grayson,COUNTY SURVEYOR,,Franklin Keith HIGDON,REP,6461,,,,,,,
2022,Grayson,DISTRICT JUDGE 46th Judicial District 2nd Division,,Democratic Party,DEM,135,,,,,,,
2022,Grayson,DISTRICT JUDGE 46th Judicial District 2nd Division,,Republican Party,REP,1072,,,,,,,
2022,Grayson,JAILER,,Jason WOOSLEY,REP,6659,,,,,,,
2022,Grayson,MAGISTRATE 1st Magisterial District,,Ben HODGES,REP,806,,,,,,,
2022,Grayson,MAGISTRATE 2nd Magisterial District,,Darin WHITELY,REP,1141,,,,,,,
2022,Grayson,MAGISTRATE 3rd Magisterial District,,Brenda HUFFMAN,REP,1142,,,,,,,
2022,Grayson,MAGISTRATE 4th Magisterial District,,Jason DENNIS,REP,1115,,,,,,,
2022,Grayson,MAGISTRATE 5th Magisterial District,,Brian ASHLEY,REP,1177,,,,,,,
2022,Grayson,MAGISTRATE 6th Magisterial District,,Charles Neal SALTSMAN,REP,1148,,,,,,,
2022,Grayson,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,107,,,,,,,
2022,Grayson,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,435,,,,,,,
2022,Grayson,MEMBER BOARD of EDUCATION 5th Educational District,,Democratic Party,DEM,58,,,,,,,
2022,Grayson,MEMBER BOARD of EDUCATION 5th Educational District,,Republican Party,REP,324,,,,,,,
2022,Grayson,PROPERTY VALUATION ADMINISTRATOR,,Ernie PERKINS,REP,6704,,,,,,,
2022,Grayson,SHERIFF,,Johnny ARMSTRONG,IND,845,,,,,,,
2022,Grayson,SHERIFF,,Norman CHAFFINS,REP,6681,,,,,,,
2022,Grayson,STATE REPRESENTATIVE 18th Representative District,18.0,Samara HEAVRIN,REP,6638,,,,,,,
2022,Grayson,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2.0,Hank LINDERMAN,DEM,1397,,,,,,,
2022,Grayson,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2.0,S. Brett GUTHRIE,REP,6500,,,,,,,
2022,Green,CIRCUIT CLERK,,Karen GILPIN,REP,3860,,,,,,,
2022,Green,CITY COUNCIL City of Greensburg,,Democratic Party,DEM,85,,,,,,,
2022,Green,CITY COUNCIL City of Greensburg,,Republican Party,REP,638,,,,,,,
2022,Green,CONSTABLE 1st Magisterial District,,Chris WINGLER,REP,607,,,,,,,
2022,Green,CONSTABLE 2nd Magisterial District,,Joshua CORBIN,REP,736,,,,,,,
2022,Green,CONSTABLE 3rd Magisterial District,,Christopher MAST,REP,910,,,,,,,
2022,Green,CONSTABLE 4th Magisterial District,,James W. ADKINS,REP,662,,,,,,,
2022,Green,CONSTABLE 5th Magisterial District,,Jerry DAVIS,REP,698,,,,,,,
2022,Green,CORONER,,David C. TAYLOR,REP,3779,,,,,,,
2022,Green,COUNTY ATTORNEY,,"Russell ""Russ"" GOFF",REP,3849,,,,,,,
2022,Green,COUNTY CLERK,,Jessica Shofner BAKER,REP,3888,,,,,,,
2022,Green,COUNTY JUDGE\EXECUTIVE,,John H. FRANK,REP,3825,,,,,,,
2022,Green,COUNTY SURVEYOR,,Brian FERGUSON,REP,3696,,,,,,,
2022,Green,DISTRICT JUDGE 11th Judicial District 2nd Division,,Democratic Party,DEM,27,,,,,,,
2022,Green,DISTRICT JUDGE 11th Judicial District 2nd Division,,Republican Party,REP,371,,,,,,,
2022,Green,JAILER,,Tommy E. PEPPER,REP,3740,,,,,,,
2022,Green,MAGISTRATE 1st Magisterial District,,Andrew PARSON,REP,665,,,,,,,
2022,Green,MAGISTRATE 2nd Magisterial District,,Tim DARNELL,REP,784,,,,,,,
2022,Green,MAGISTRATE 3rd Magisterial District,,Steve LEWIS,REP,918,,,,,,,
2022,Green,MAGISTRATE 4th Magisterial District,,Terry F. AARON,REP,673,,,,,,,
2022,Green,MAGISTRATE 5th Magisterial District,,Charles JUDD,REP,717,,,,,,,
2022,Green,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,35,,,,,,,
2022,Green,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,490,,,,,,,
2022,Green,MEMBER BOARD of EDUCATION 5th Educational District,,Democratic Party,DEM,15,,,,,,,
2022,Green,MEMBER BOARD of EDUCATION 5th Educational District,,Republican Party,REP,201,,,,,,,
2022,Green,PROPERTY VALUATION ADMINISTRATOR,,Sean D. CURRY,REP,3875,,,,,,,
2022,Green,SHERIFF,,Nick PRUITT,DEM,754,,,,,,,
2022,Green,SHERIFF,,Robby BEARD,REP,3557,,,,,,,
2022,Green,STATE REPRESENTATIVE 24th Representative District,24.0,Brandon REED,REP,3767,,,,,,,
2022,Green,STATE REPRESENTATIVE 24th Representative District,24.0,Keith PRUITT,DEM,539,,,,,,,
2022,Green,UNITED STATES REPRESENTATIVE in Congress 2nd Congressional District,2.0,Hank LINDERMAN,DEM,519,,,,,,,
2022,Green,UNITED STATES REPRESENTATIVE in Congress 2nd Congressional District,2.0,S. Brett GUTHRIE,REP,3764,,,,,,,
2022,Hardin,CITY COMMISSIONERS City of Sonora,,Democratic Party,DEM,33,,,,,,,
2022,Hardin,CITY COMMISSIONERS City of Sonora,,Republican Party,REP,75,,,,,,,
2022,Hardin,CITY COMMISSIONERS City of Upton,,Democratic Party,DEM,4,,,,,,,
2022,Hardin,CITY COMMISSIONERS City of Upton,,Jesse Trenton Schyluer OLDHAM,W,6,,,,,,,
2022,Hardin,CITY COMMISSIONERS City of Upton,,Republican Party,REP,21,,,,,,,
2022,Hardin,CITY COMMISSIONERS City of Upton,,Ted JONES,W,16,,,,,,,
2022,Hardin,CITY COUNCIL City of Elizabethtown,,Democratic Party,DEM,1359,,,,,,,
2022,Hardin,CITY COUNCIL City of Elizabethtown,,Republican Party,REP,1917,,,,,,,
2022,Hardin,CITY COUNCIL City of Radcliff,,Democratic Party,DEM,1514,,,,,,,
2022,Hardin,CITY COUNCIL City of Radcliff,,Republican Party,REP,1454,,,,,,,
2022,Hardin,CITY COUNCIL City of Vine Grove,,Democratic Party,DEM,254,,,,,,,
2022,Hardin,CITY COUNCIL City of Vine Grove,,Republican Party,REP,428,,,,,,,
2022,Hardin,CITY COUNCIL City of West Point,,Democratic Party,DEM,119,,,,,,,
2022,Hardin,CITY COUNCIL City of West Point,,Republican Party,REP,114,,,,,,,
2022,Hardin,CONSTABLE 1st Magisterial District,,Barry R. BENNETT,REP,1680,,,,,,,
2022,Hardin,CONSTABLE 2nd Magisterial District,,Barry CRAIG,DEM,1754,,,,,,,
2022,Hardin,CONSTABLE 3rd Magisterial District,,John BAYS,REP,2994,,,,,,,
2022,Hardin,CONSTABLE 4th Magisterial District,,Gerry PERKINS,REP,2881,,,,,,,
2022,Hardin,CONSTABLE 6th Magisterial District,,Sylvester BENNETT,DEM,2657,,,,,,,
2022,Hardin,CONSTABLE 7th Magisterial District,,Michael Anthony CLARK JR.,REP,3271,,,,,,,
2022,Hardin,CORONER,,Charles Patrick ELMORE,W,294,,,,,,,
2022,Hardin,CORONER,,William H. LEE,DEM,19290,,,,,,,
2022,Hardin,COUNTY ATTORNEY,,Jenny OLDHAM,REP,23076,,,,,,,
2022,Hardin,COUNTY CLERK,,Brian D. SMITH,REP,16012,,,,,,,
2022,Hardin,COUNTY CLERK,,Debbie DONNELLY,DEM,14717,,,,,,,
2022,Hardin,COUNTY JUDGE/EXECUTIVE,,Charlie WISE,W,3413,,,,,,,
2022,Hardin,COUNTY JUDGE/EXECUTIVE,,Keith TAUL,REP,21137,,,,,,,
2022,Hardin,COUNTY SURVEYOR,,Eric SPURRIER,REP,22348,,,,,,,
2022,Hardin,DISTRICT JUDGE 9th Judicial District 2nd Division,,Democratic Party,DEM,974,,,,,,,
2022,Hardin,DISTRICT JUDGE 9th Judicial District 2nd Division,,Republican Party,REP,2353,,,,,,,
2022,Hardin,JAILER,,"Joshua ""Big Josh"" LINDBLOM",DEM,17741,,,,,,,
2022,Hardin,JAILER,,Rob REYNOLDS,REP,12832,,,,,,,
2022,Hardin,MAGISTRATE 1st Magisterial District,,Chris YATES,DEM,1277,,,,,,,
2022,Hardin,MAGISTRATE 1st Magisterial District,,Edward L. PALMER SR.,IND,1019,,,,,,,
2022,Hardin,MAGISTRATE 2nd Magisterial District,,Kenny SALTSMAN,DEM,1342,,,,,,,
2022,Hardin,MAGISTRATE 2nd Magisterial District,,T. W. SHORTT,REP,1300,,,,,,,
2022,Hardin,MAGISTRATE 3rd Magisterial District,,Michael MABRY,DEM,1491,,,,,,,
2022,Hardin,MAGISTRATE 3rd Magisterial District,,Patsy WHITEHEAD,REP,2637,,,,,,,
2022,Hardin,MAGISTRATE 4th Magisterial District,,Fred CLEM JR.,REP,2568,,,,,,,
2022,Hardin,MAGISTRATE 4th Magisterial District,,George P. DUVALL SR.,DEM,1610,,,,,,,
2022,Hardin,MAGISTRATE 5th Magisterial District,,Aaron PENNINGTON,REP,1698,,,,,,,
2022,Hardin,MAGISTRATE 5th Magisterial District,,Eli WHITLOCK,DEM,1305,,,,,,,
2022,Hardin,MAGISTRATE 6th Magisterial District,,E. G. THOMPSON,REP,2624,,,,,,,
2022,Hardin,MAGISTRATE 6th Magisterial District,,Kendrick BRYAN,DEM,1510,,,,,,,
2022,Hardin,MAGISTRATE 6th Magisterial District,,Roderick L GIPSON,W,439,,,,,,,
2022,Hardin,MAGISTRATE 7th Magisterial District,,Larry Allen HICKS,REP,3324,,,,,,,
2022,Hardin,MAGISTRATE 8th Magisterial District,,Kenny MUSE,REP,3009,,,,,,,
2022,Hardin,MAGISTRATE 8th Magisterial District,,Stan HOLMES,DEM,1582,,,,,,,
2022,Hardin,MAYOR City of West Point,,Dwayne CULVER,W,134,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION 2nd Educational District,,Democratic Party,DEM,456,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION 2nd Educational District,,Republican Party,REP,1067,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,226,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,359,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION 3rd Educational District,,Thomas Wavey METCALF,W,36,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION Elizabethtown Independent School District (Unexpired Term),,Brandy M ARMSTRONG,W,61,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION Elizabethtown Independent School District (Unexpired Term),,Democratic Party,DEM,99,,,,,,,
2022,Hardin,MEMBER BOARD of EDUCATION Elizabethtown Independent School District (Unexpired Term),,Republican Party,REP,212,,,,,,,
2022,Hardin,PROPERTY VALUATION ADMINISTRATOR,,Danny L. HUTCHERSON,DEM,19360,,,,,,,
2022,Hardin,SHERIFF,,John WARD,DEM,16750,,,,,,,
2022,Hardin,SHERIFF,,Willie ODEN,REP,13977,,,,,,,
2022,Hardin,STATE REPRESENTATIVE 10th Representative District,10.0,John B WHIPPLE,W,37,,,,,,,
2022,Hardin,STATE REPRESENTATIVE 10th Representative District,10.0,Josh CALLOWAY,REP,6356,,,,,,,
2022,Hardin,STATE REPRESENTATIVE 18th Representative District,18.0,Samara HEAVRIN,REP,4785,,,,,,,
2022,Hardin,STATE REPRESENTATIVE 25th Representative District,25.0,Katherine LEONARD,DEM,4539,,,,,,,
2022,Hardin,STATE REPRESENTATIVE 25th Representative District,25.0,Steve BRATCHER,REP,7537,,,,,,,
2022,Hardin,STATE REPRESENTATIVE 26th Representative District,26.0,Russell WEBBER,REP,714,,,,,,,
2022,Hardin,STATE REPRESENTATIVE 27th Representative District,27.0,Nancy J. TATE,REP,1926,,,,,,,
2022,Hardin,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2.0,Hank LINDERMAN,DEM,10105,,,,,,,
2022,Hardin,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2.0,S.Brett GUTHRIE,REP,20557,,,,,,,
2022,Harrison,CITY COMMISSIONERS City of Berry,,Democratic Party,DEM,29,,,,,,,
2022,Harrison,CITY COMMISSIONERS City of Berry,,Republican Party,REP,116,,,,,,,
2022,Harrison,CITY COMMISSIONERS City of Cynthiana,,Democratic Party,DEM,458,,,,,,,
2022,Harrison,CITY COMMISSIONERS City of Cynthiana,,Republican Party,REP,909,,,,,,,
2022,Harrison,CONSTABLE 1st Magisterial District,,Mark MERRIMAN,REP,471,,,,,,,
2022,Harrison,CONSTABLE 2nd Magisterial District,,Wayne WRIGHT,REP,425,,,,,,,
2022,Harrison,CONSTABLE 4th Magisterial District,,Christopher Wilson COOPER,REP,776,,,,,,,
2022,Harrison,CONSTABLE 5th Magisterial District,,Freddie Dean BUTCHER,DEM,595,,,,,,,
2022,Harrison,CONSTABLE 6th Magisterial District,,Jeffery HUNTER,W,8,,,,,,,
2022,Harrison,CONSTABLE 6th Magisterial District,,Shane W. LUKE,REP,632,,,,,,,
2022,Harrison,CONSTABLE 7th Magisterial District,,Gina GILL,DEM,401,,,,,,,
2022,Harrison,CONSTABLE 8th Magisterial District,,Darrell FLORENCE,REP,624,,,,,,,
2022,Harrison,CORONER,,Thomas WARE,DEM,4827,,,,,,,
2022,Harrison,COUNTY ATTORNEY,,Bradley K. VAUGHN,REP,5607,,,,,,,
2022,Harrison,COUNTY CLERK,,Linda S. BARNES,DEM,3486,,,,,,,
2022,Harrison,COUNTY CLERK,,Samantha WRIGHT,REP,3217,,,,,,,
2022,Harrison,COUNTY JUDGE/EXECUTIVE,,Alex BARNETT,DEM,2770,,,,,,,
2022,Harrison,COUNTY JUDGE/EXECUTIVE,,Jason MARSHALL,REP,3935,,,,,,,
2022,Harrison,DISTRICT JUDGE 18th Judicial District,,Democratic Party,DEM,137,,,,,,,
2022,Harrison,DISTRICT JUDGE 18th Judicial District,,Republican Party,REP,382,,,,,,,
2022,Harrison,JAILER,,Steve SLADE,DEM,4567,,,,,,,
2022,Harrison,MAGISTRATE 1st Magisterial District,,Stanley F. LEMONS,DEM,488,,,,,,,
2022,Harrison,MAGISTRATE 2nd Magisterial District,,Christopher WINKLE,DEM,421,,,,,,,
2022,Harrison,MAGISTRATE 3rd Magisterial District,,Daryl NORTHCUTT,REP,677,,,,,,,
2022,Harrison,MAGISTRATE 3rd Magisterial District,,Steve McCAULEY,DEM,319,,,,,,,
2022,Harrison,MAGISTRATE 4th Magisterial District,,Charles GARNETT,REP,645,,,,,,,
2022,Harrison,MAGISTRATE 4th Magisterial District,,Keith MOORE,DEM,387,,,,,,,
2022,Harrison,MAGISTRATE 5th Magisterial District,,Darrell BAXTER,DEM,239,,,,,,,
2022,Harrison,MAGISTRATE 5th Magisterial District,,Jeremy BURDEN,REP,726,,,,,,,
2022,Harrison,MAGISTRATE 6th Magisterial District,,Brad YEARSLEY,DEM,476,,,,,,,
2022,Harrison,MAGISTRATE 6th Magisterial District,,H. D. BATSON,REP,372,,,,,,,
2022,Harrison,MAGISTRATE 7th Magisterial District,,Dwayne FLORENCE,REP,606,,,,,,,
2022,Harrison,MAGISTRATE 7th Magisterial District,,Norval FRANCIS,DEM,143,,,,,,,
2022,Harrison,MAGISTRATE 8th Magisterial District,,Bradley T. COPES,DEM,290,,,,,,,
2022,Harrison,MAGISTRATE 8th Magisterial District,,Christopher L. PHILPOT,REP,491,,,,,,,
2022,Harrison,MEMBER BOARD of EDUCATION 1st Educational District,,Laura NORCROSS,W,247,,,,,,,
